Code,Character,Translation,IssueType
U+0000B4,"´","′",allowed
U+0000B5,"µ","μ",allowed
U+0000B8,"¸",",",allowed
U+0000BA,"º","o",allowed
U+0000BB,"»","≫",allowed
U+002010,"‐","­",allowed
U+002014,"—","─",allowed
U+002015,"―","-",allowed
U+002022,"•","·",allowed
U+002025,"‥","…",allowed
U+002032,"′","´",allowed
U+002033,"″","˝",allowed
U+002266,"≦","≤",allowed
U+002267,"≧","≥",allowed
U+0025A1,"□","□",allowed
U+00266F,"♯","＃",allowed
U+003000,"　"," ",allowed
U+003001,"、",",",allowed
U+003002,"。",".",allowed
U+003007,"〇","0",allowed
U+00301C,"〜","~",allowed
U+00301D,"〝","“",allowed
U+00301F,"〟","”",allowed
U+003054,"ご","",allowed
U+003055,"さ","",allowed
U+00305E,"ぞ","",allowed
U+00305F,"た","",allowed
U+003062,"ぢ","",allowed
U+003065,"づ","",allowed
U+00306A,"な","",allowed
U+003079,"べ","",allowed
U+00307E,"ま","",allowed
U+003085,"ゅ","",allowed
U+003086,"ゆ","",allowed
U+003087,"ょ","",allowed
U+003088,"よ","",allowed
U+00308A,"り","",allowed
U+00308C,"れ","",allowed
U+003090,"ゐ","",allowed
U+003091,"ゑ","",allowed
U+00309B,"゛","″",allowed
U+00309C,"゜","˚",allowed
U+0030A3,"ィ","",allowed
U+0030A5,"ゥ","",allowed
U+0030A9,"ォ","",allowed
U+0030C3,"ッ","",allowed
U+0030E3,"ャ","",allowed
U+0030E5,"ュ","",allowed
U+0030E7,"ョ","",allowed
U+0030EE,"ヮ","",allowed
U+0030F0,"ヰ","",allowed
U+0030F1,"ヱ","",allowed
U+0030F2,"ヲ","",allowed
U+0030F3,"ン","",allowed
U+0030F5,"ヵ","",allowed
U+0030F6,"ヶ","",allowed
U+0030FB,"・","·",allowed
U+0030FC,"ー","-",allowed
U+003231,"㈱","㈜",allowed
U+004E00,"一","1",allowed
U+004E03,"七","7",allowed
U+004E09,"三","3",allowed
U+004E5D,"九","9",allowed
U+004E8C,"二","2",allowed
U+004E94,"五","5",allowed
U+00516B,"八","8",allowed
U+00516D,"六","6",allowed
U+005341,"十","10",allowed
U+0056DB,"四","4",allowed
U+00FF01,"！","!",allowed
U+00FF05,"％","%",allowed
U+00FF08,"（","(",allowed
U+00FF09,"）",")",allowed
U+00FF0A,"＊","*",allowed
U+00FF0C,"，",",",allowed
U+00FF0E,"．",".",allowed
U+00FF0F,"／","/",allowed
U+00FF10,"０","0",allowed
U+00FF11,"１","1",allowed
U+00FF12,"２","2",allowed
U+00FF13,"３","3",allowed
U+00FF14,"４","4",allowed
U+00FF15,"５","5",allowed
U+00FF16,"６","6",allowed
U+00FF17,"７","7",allowed
U+00FF18,"８","8",allowed
U+00FF19,"９","9",allowed
U+00FF1A,"：",":",allowed
U+00FF1D,"＝","=",allowed
U+00FF21,"Ａ","A",allowed
U+00FF22,"Ｂ","B",allowed
U+00FF23,"Ｃ","C",allowed
U+00FF24,"Ｄ","D",allowed
U+00FF25,"Ｅ","E",allowed
U+00FF26,"Ｆ","F",allowed
U+00FF27,"Ｇ","G",allowed
U+00FF28,"Ｈ","H",allowed
U+00FF29,"Ｉ","I",allowed
U+00FF2A,"Ｊ","J",allowed
U+00FF2B,"Ｋ","K",allowed
U+00FF2C,"Ｌ","L",allowed
U+00FF2D,"Ｍ","M",allowed
U+00FF2E,"Ｎ","N",allowed
U+00FF2F,"Ｏ","O",allowed
U+00FF30,"Ｐ","P",allowed
U+00FF31,"Ｑ","Q",allowed
U+00FF32,"Ｒ","R",allowed
U+00FF33,"Ｓ","S",allowed
U+00FF34,"Ｔ","T",allowed
U+00FF35,"Ｕ","U",allowed
U+00FF36,"Ｖ","V",allowed
U+00FF37,"Ｗ","W",allowed
U+00FF38,"Ｘ","X",allowed
U+00FF39,"Ｙ","Y",allowed
U+00FF3A,"Ｚ","Z",allowed
U+00FF41,"ａ","a",allowed
U+00FF42,"ｂ","b",allowed
U+00FF43,"ｃ","c",allowed
U+00FF44,"ｄ","d",allowed
U+00FF45,"ｅ","e",allowed
U+00FF46,"ｆ","f",allowed
U+00FF47,"ｇ","g",allowed
U+00FF48,"ｈ","h",allowed
U+00FF49,"ｉ","i",allowed
U+00FF4A,"ｊ","j",allowed
U+00FF4B,"ｋ","k",allowed
U+00FF4C,"ｌ","l",allowed
U+00FF4D,"ｍ","m",allowed
U+00FF4E,"ｎ","n",allowed
U+00FF4F,"ｏ","o",allowed
U+00FF50,"ｐ","p",allowed
U+00FF51,"ｑ","q",allowed
U+00FF52,"ｒ","r",allowed
U+00FF53,"ｓ","s",allowed
U+00FF54,"ｔ","t",allowed
U+00FF55,"ｕ","u",allowed
U+00FF56,"ｖ","v",allowed
U+00FF57,"ｗ","w",allowed
U+00FF58,"ｘ","x",allowed
U+00FF59,"ｙ","y",allowed
U+00FF5A,"ｚ","z",allowed
U+00FF5E,"～","~",allowed
U+00FF61,"｡",".",allowed
U+00FF62,"｢","「",allowed
U+00FF63,"｣","」",allowed
U+00FF64,"､",",",allowed
U+00FF65,"･","·",allowed
U+00FF66,"ｦ","",allowed
U+00FF67,"ｧ","",allowed
U+00FF68,"ｨ","",allowed
U+00FF69,"ｩ","",allowed
U+00FF6A,"ｪ","",allowed
U+00FF6B,"ｫ","",allowed
U+00FF6C,"ｬ","",allowed
U+00FF6D,"ｭ","",allowed
U+00FF6E,"ｮ","",allowed
U+00FF6F,"ｯ","",allowed
U+00FF70,"ｰ","-",allowed
U+00FF9D,"ﾝ","",allowed
U+00FF9E,"ﾞ","″",allowed
U+00FF9F,"ﾟ","˚",allowed
